lakos azonosító,név,születési év,foglalkozás,lakóhely
1,Nagy Anna,2023,nincs,1
3,Tóth László,2015,tanuló,3
4,Szabó Eszter,2010,tanuló,4
5,Varga Zoltán,2005,programozó,5
6,Farkas Réka,1998,tanár,6
7,Kiss Tamás,1985,építész,7
8,Balogh Dóra,1972,orvos,8
9,Oláh Bence,2016,tanuló,1
10,Molnár Zsófia,1990,bolti eladó,2
11,Nagy Anna,2013,tanuló,3
12,Kovács Péter,2008,tanuló,4
13,Tóth László,1995,sofor,5
14,Szabó Eszter,1980,mérnök,6
15,Varga Zoltán,2003,tanuló,7
16,Farkas Réka,2001,tanuló,8
17,Kiss Tamás,1993,építész,1
18,Balogh Dóra,1989,ápoló,2
19,Oláh Bence,2017,tanuló,3
20,Molnár Zsófia,2012,tanuló,4
21,Nagy Anna,1996,szakács,5
22,Kovács Péter,2000,diák,6
23,Tóth László,1982,jogász,7
24,Szabó Eszter,1975,orvos,8
25,Varga Zoltán,2014,tanuló,1
26,Farkas Réka,2006,tanuló,2
27,Kiss Tamás,1999,pincér,3
28,Balogh Dóra,1988,marketinges,4
29,Oláh Bence,2011,tanuló,5
30,Molnár Zsófia,2009,tanuló,6
31,Nagy Anna,1992,bolti eladó,7
32,Kovács Péter,1984,sofor,8
33,Tóth László,2007,tanuló,1
35,Varga Zoltán,2004,tanuló,3
36,Farkas Réka,1997,könyvelo,4
37,Kiss Tamás,1981,építész,5
38,Balogh Dóra,1979,üzletember,6
39,Oláh Bence,2010,tanuló,7
40,Molnár Zsófia,2002,diák,8
